Daily Date,Share Code,Total Value Traded (GH¢)
23/11/2020,CAL,0
20/11/2020,CAL,0
19/11/2020,CAL,350
18/11/2020,CAL,"4,270.00"
17/11/2020,CAL,700
16/11/2020,CAL,"2,800.00"
13/11/2020,CAL,"1,050.00"
12/11/2020,CAL,210
11/11/2020,CAL,910
10/11/2020,CAL,0
9/11/2020,CAL,0
6/11/2020,CAL,700
5/11/2020,CAL,210
4/11/2020,CAL,0
3/11/2020,CAL,"3,570.00"
2/11/2020,CAL,0
30/10/2020,CAL,0
29/10/2020,CAL,0
28/10/2020,CAL,0
27/10/2020,CAL,"2,800.00"
26/10/2020,CAL,140
23/10/2020,CAL,"3,010.00"
22/10/2020,CAL,"1,960.00"
21/10/2020,CAL,980
20/10/2020,CAL,"21,770.00"
19/10/2020,CAL,"28,280.00"
16/10/2020,CAL,"24,500.00"
15/10/2020,CAL,"9,240.00"
14/10/2020,CAL,"3,290.00"
13/10/2020,CAL,"48,090.00"
12/10/2020,CAL,"2,100.00"
9/10/2020,CAL,"295,360.00"
8/10/2020,CAL,0
7/10/2020,CAL,"9,590.00"
6/10/2020,CAL,0
5/10/2020,CAL,"1,400.00"
2/10/2020,CAL,"5,460.00"
1/10/2020,CAL,210
30/09/2020,CAL,0
29/09/2020,CAL,140
28/09/2020,CAL,210
25/09/2020,CAL,0
24/09/2020,CAL,210
23/09/2020,CAL,"6,860.00"
22/09/2020,CAL,0
18/09/2020,CAL,"9,800.00"
17/09/2020,CAL,700
16/09/2020,CAL,"100,862.00"
15/09/2020,CAL,0
14/09/2020,CAL,0
11/9/2020,CAL,"1,020.00"
10/9/2020,CAL,0
9/9/2020,CAL,"11,084.00"
8/9/2020,CAL,"1,408.00"
