Daily Date,Share Code,Total Value Traded (GH¢)
8/10/2020,ACCESS,0
7/10/2020,ACCESS,0
6/10/2020,ACCESS,0
5/10/2020,ACCESS,0
2/10/2020,ACCESS,0
1/10/2020,ACCESS,0
30/09/2020,ACCESS,0
29/09/2020,ACCESS,0
28/09/2020,ACCESS,0
25/09/2020,ACCESS,0
24/09/2020,ACCESS,0
23/09/2020,ACCESS,0
22/09/2020,ACCESS,0
18/09/2020,ACCESS,0
17/09/2020,ACCESS,0
16/09/2020,ACCESS,0
15/09/2020,ACCESS,0
14/09/2020,ACCESS,0
11/9/2020,ACCESS,0
10/9/2020,ACCESS,0
9/9/2020,ACCESS,0
8/9/2020,ACCESS,0
7/9/2020,ACCESS,0
4/9/2020,ACCESS,0
3/9/2020,ACCESS,0
2/9/2020,ACCESS,0
1/9/2020,ACCESS,0
31/08/2020,ACCESS,0
28/08/2020,ACCESS,0
27/08/2020,ACCESS,0
26/08/2020,ACCESS,0
25/08/2020,ACCESS,0
24/08/2020,ACCESS,0
21/08/2020,ACCESS,0
20/08/2020,ACCESS,0
19/08/2020,ACCESS,0
18/08/2020,ACCESS,0
17/08/2020,ACCESS,0
14/08/2020,ACCESS,0
13/08/2020,ACCESS,0
12/8/2020,ACCESS,0
11/8/2020,ACCESS,0
10/8/2020,ACCESS,0
7/8/2020,ACCESS,0
6/8/2020,ACCESS,0
5/8/2020,ACCESS,0
3/8/2020,ACCESS,0
30/07/2020,ACCESS,0
29/07/2020,ACCESS,0
28/07/2020,ACCESS,0
27/07/2020,ACCESS,0
24/07/2020,ACCESS,0
23/07/2020,ACCESS,0
22/07/2020,ACCESS,0
21/07/2020,ACCESS,0
20/07/2020,ACCESS,0
17/07/2020,ACCESS,0
16/07/2020,ACCESS,0
15/07/2020,ACCESS,0
14/07/2020,ACCESS,0
13/07/2020,ACCESS,0
10/7/2020,ACCESS,0
9/7/2020,ACCESS,0
8/7/2020,ACCESS,0
7/7/2020,ACCESS,0
6/7/2020,ACCESS,0
3/7/2020,ACCESS,0
2/7/2020,ACCESS,0
1/7/2020,ACCESS,0
30/06/2020,ACCESS,0
29/06/2020,ACCESS,0
26/06/2020,ACCESS,0
25/06/2020,ACCESS,0
24/06/2020,ACCESS,0
23/06/2020,ACCESS,0
22/06/2020,ACCESS,0
19/06/2020,ACCESS,0
18/06/2020,ACCESS,0
17/06/2020,ACCESS,0
16/06/2020,ACCESS,0
15/06/2020,ACCESS,0
12/6/2020,ACCESS,0
11/6/2020,ACCESS,0
